match,result,turned_cards,number_of_battles
0,B,18,4
1,B,18,4
2,B,18,4
3,B,17,3
4,B,17,3
5,B,17,3
6,B,18,4
7,B,18,4
8,B,18,4
9,B,17,3
10,B,17,3
11,B,17,3
12,B,17,3
13,B,17,3
14,B,17,3
15,B,17,3
16,B,17,3
17,B,17,3
18,B,17,3
19,B,17,3
20,B,17,3
21,B,17,3
22,B,17,3
23,B,17,3
24,B,17,3
25,B,17,3
26,B,17,3
27,B,17,3
28,B,17,3
29,B,17,3
30,B,18,4
31,B,18,4
32,B,18,4
33,B,17,3
34,B,17,3
35,B,17,3
36,B,17,3
37,B,17,3
38,B,17,3
39,B,17,3
40,B,17,3
41,B,17,3
42,B,17,3
43,B,17,3
44,B,17,3
45,B,17,3
46,B,17,3
47,B,17,3
48,B,16,2
49,B,16,2
50,B,16,2
51,B,16,2
52,B,16,2
53,B,16,2
54,B,16,2
55,B,16,2
56,B,16,2
57,B,16,2
58,B,16,2
59,B,16,2
60,B,17,3
61,B,17,3
62,B,17,3
63,B,17,3
64,B,17,3
65,B,17,3
66,B,17,3
67,B,17,3
68,B,17,3
69,B,17,3
70,B,17,3
71,B,17,3
72,B,16,2
73,B,16,2
74,B,16,2
75,B,16,2
76,B,16,2
77,B,16,2
78,B,16,2
79,B,16,2
80,B,16,2
81,B,16,2
82,B,16,2
83,B,16,2
84,B,16,2
85,B,16,2
86,B,16,2
87,B,16,2
88,B,16,2
89,B,16,2
90,B,18,4
91,B,18,4
92,B,18,4
93,B,17,3
94,B,17,3
95,B,17,3
96,B,18,4
97,B,18,4
98,B,18,4
99,B,17,3
100,B,17,3
101,B,17,3
102,B,17,3
103,B,17,3
104,B,17,3
105,B,17,3
106,B,17,3
107,B,17,3
108,B,17,3
109,B,17,3
110,B,17,3
111,B,17,3
112,B,17,3
113,B,17,3
114,B,17,3
115,B,17,3
116,B,17,3
117,B,17,3
118,B,17,3
119,B,17,3
120,B,18,4
121,B,18,4
122,B,18,4
123,B,17,3
124,B,17,3
125,B,17,3
126,B,18,4
127,B,18,4
128,B,18,4
129,B,17,4
130,B,17,4
131,B,17,4
132,B,17,4
133,B,17,4
134,B,17,4
135,B,17,4
136,B,17,4
137,B,17,4
138,B,17,3
139,B,17,3
140,B,17,3
141,B,17,4
142,B,17,4
143,B,17,4
144,B,17,4
145,B,17,4
146,B,17,4
147,B,17,4
148,B,17,4
149,B,17,4
150,B,18,4
151,B,18,4
152,B,18,4
153,B,17,3
154,B,17,3
